0.02.973.409 I 
Computing statistics for /mnt/raid0/llm/tmp/expert-routing-skew-glm52-20260717T-production-representative/expert-routing-skew.imatrix.gguf (1002 tensors)
0.02.973.414 I 
 Layer	       Tensor	          Σ(Act²)	  Min	            Max	           μ	   σ	 % Active	N	   Entropy	E (norm)	ZD	  CosSim
0.02.973.414 I =========================================================================================================================================================================
0.02.974.835 I     7	ffn_gate_shexp      	      5.31	  0.0000	     0.0123	  0.00	  0.00	   99.85%	  6144	   12.4582	 98.99%	      7.24%	  0.8993
0.02.974.836 I     6	ffn_gate_shexp      	      2.88	  0.0000	     0.0087	  0.00	  0.00	   99.89%	  6144	   12.3804	 98.37%	      7.47%	  0.8963
0.02.974.838 I     5	ffn_gate_shexp      	      1.55	  0.0000	     0.0039	  0.00	  0.00	   99.82%	  6144	   12.3046	 97.77%	      8.95%	  0.8766
0.02.974.839 I     4	ffn_gate_shexp      	      1.31	  0.0000	     0.0064	  0.00	  0.00	   99.92%	  6144	   12.2018	 96.96%	      6.74%	  0.6689
0.02.974.841 I     3	ffn_gate_shexp      	      0.74	  0.0000	     0.0153	  0.00	  0.00	   99.84%	  6144	   11.6486	 92.56%	      2.91%	  0.0000
0.02.974.842 I     2	ffn_up              	      3.29	  0.0000	     1.1159	  0.00	  0.01	  100.00%	  6144	    8.2775	 65.77%	      0.10%	  0.6233
0.02.974.844 I     0	ffn_up              	      3.27	  0.0001	     0.2935	  0.00	  0.00	  100.00%	  6144	   10.2603	 81.53%	      0.55%	  0.0000
0.02.974.846 I     1	ffn_up              	      2.93	  0.0000	     0.4289	  0.00	  0.01	   99.95%	  6144	    9.6741	 76.87%	      0.37%	  0.0620
0.02.974.849 I    74	ffn_up_exps         	 511918.78	  0.0752	     3.3632	  0.33	  0.09	  100.00%	1572864	   20.5387	 99.78%	     11.60%	  0.5972
0.02.974.851 I    75	ffn_up_exps         	 496683.03	  0.0620	     3.4670	  0.32	  0.09	  100.00%	1572864	   20.5356	 99.76%	     11.76%	  0.6267
0.02.974.852 I    73	ffn_up_exps         	 490712.69	  0.1097	     3.4475	  0.31	  0.08	  100.00%	1572864	   20.5417	 99.79%	     11.45%	  0.5278
0.02.974.855 I    72	ffn_up_exps         	 478031.91	  0.1068	     3.1071	  0.30	  0.08	  100.00%	1572864	   20.5430	 99.80%	     11.27%	  0.4464
0.02.974.857 I    71	ffn_up_exps         	 423775.25	  0.0991	     2.0983	  0.27	  0.06	  100.00%	1572864	   20.5495	 99.83%	     11.43%	  0.4463
0.02.974.859 I    76	ffn_up_exps         	 412717.78	  0.0450	     8.3654	  0.26	  0.07	  100.00%	1572864	   20.5427	 99.79%	     11.78%	  0.5822
0.02.974.861 I    70	ffn_up_exps         	 395554.38	  0.0847	     1.5160	  0.25	  0.06	  100.00%	1572864	   20.5543	 99.85%	     11.56%	  0.4095
0.02.974.863 I    69	ffn_up_exps         	 380706.06	  0.0361	     1.3834	  0.24	  0.05	  100.00%	1572864	   20.5543	 99.85%	     11.78%	  0.4529
0.02.974.865 I    68	ffn_up_exps         	 360406.25	  0.0678	     2.3793	  0.23	  0.05	  100.00%	1572864	   20.5534	 99.85%	     11.19%	  0.3880
0.02.974.867 I    67	ffn_up_exps         	 340958.03	  0.0602	     2.5076	  0.22	  0.05	  100.00%	1572864	   20.5532	 99.85%	     10.21%	  0.3938
0.02.974.870 I    66	ffn_up_exps         	 324551.75	  0.0724	     1.9123	  0.21	  0.04	  100.00%	1572864	   20.5562	 99.86%	     10.91%	  0.5106
0.02.974.871 I    65	ffn_up_exps         	 299492.41	  0.0245	     2.9663	  0.19	  0.04	  100.00%	1572864	   20.5518	 99.84%	      9.74%	  0.4982
0.02.974.874 I    64	ffn_up_exps         	 296181.56	  0.0491	     1.9563	  0.19	  0.04	  100.00%	1572864	   20.5554	 99.86%	     10.77%	  0.4426
0.02.974.875 I    63	ffn_up_exps         	 286628.78	  0.0198	     2.3887	  0.18	  0.04	  100.00%	1572864	   20.5526	 99.84%	     10.28%	  0.4152
0.02.974.878 I    62	ffn_up_exps         	 273090.09	  0.0594	     1.5075	  0.17	  0.04	  100.00%	1572864	   20.5567	 99.86%	     11.01%	  0.4754
0.02.974.880 I    61	ffn_up_exps         	 261465.42	  0.0338	     1.5062	  0.17	  0.04	  100.00%	1572864	   20.5527	 99.84%	     11.09%	  0.4181
0.02.974.881 I    60	ffn_up_exps         	 255066.98	  0.0410	     2.0613	  0.16	  0.04	  100.00%	1572864	   20.5526	 99.84%	     10.53%	  0.3874
0.02.974.883 I    59	ffn_up_exps         	 242677.91	  0.0361	     1.2168	  0.15	  0.03	  100.00%	1572864	   20.5534	 99.85%	     11.15%	  0.4266
0.02.974.885 I    58	ffn_up_exps         	 234653.94	  0.0325	     1.3703	  0.15	  0.03	  100.00%	1572864	   20.5520	 99.84%	     11.01%	  0.3744
0.02.974.886 I    77	ffn_up_exps         	 227250.23	  0.0006	    20.9730	  0.14	  0.06	  100.00%	1572864	   20.5116	 99.64%	      9.17%	  0.5292
0.02.974.888 I    57	ffn_up_exps         	 222712.12	  0.0138	     1.9193	  0.14	  0.04	  100.00%	1572864	   20.5478	 99.82%	     10.27%	  0.3176
0.02.974.890 I    56	ffn_up_exps         	 216930.36	  0.0374	     1.2838	  0.14	  0.03	  100.00%	1572864	   20.5505	 99.83%	     10.73%	  0.3778
0.02.974.891 I    55	ffn_up_exps         	 208976.50	  0.0230	     1.5714	  0.13	  0.03	  100.00%	1572864	   20.5495	 99.83%	     10.76%	  0.3803
0.02.974.893 I    54	ffn_up_exps         	 200897.48	  0.0365	     1.3586	  0.13	  0.03	  100.00%	1572864	   20.5500	 99.83%	     10.66%	  0.3495
0.02.974.895 I    53	ffn_up_exps         	 191295.66	  0.0247	     1.0783	  0.12	  0.03	  100.00%	1572864	   20.5517	 99.84%	     11.13%	  0.3752
0.02.974.896 I    52	ffn_up_exps         	 188758.44	  0.0311	     1.0044	  0.12	  0.03	  100.00%	1572864	   20.5545	 99.85%	     11.16%	  0.4596
0.02.974.898 I    51	ffn_up_exps         	 174917.33	  0.0157	     1.7749	  0.11	  0.03	  100.00%	1572864	   20.5484	 99.82%	      9.92%	  0.3583
0.02.974.899 I    50	ffn_up_exps         	 169270.88	  0.0287	     0.9374	  0.11	  0.02	  100.00%	1572864	   20.5530	 99.84%	     11.33%	  0.3058
0.02.974.901 I    49	ffn_up_exps         	 158369.70	  0.0324	     1.0519	  0.10	  0.02	  100.00%	1572864	   20.5481	 99.82%	     10.56%	  0.3949
0.02.974.903 I    48	ffn_up_exps         	 147693.28	  0.0242	     1.0139	  0.09	  0.02	  100.00%	1572864	   20.5515	 99.84%	     10.93%	  0.4853
0.02.974.905 I    47	ffn_up_exps         	 146374.00	  0.0184	     0.9751	  0.09	  0.02	  100.00%	1572864	   20.5499	 99.83%	     10.58%	  0.3655
0.02.974.906 I    46	ffn_up_exps         	 139474.20	  0.0049	     0.9593	  0.09	  0.02	  100.00%	1572864	   20.5492	 99.83%	     10.37%	  0.4713
0.02.974.908 I    45	ffn_up_exps         	 131893.06	  0.0295	     0.7709	  0.08	  0.02	  100.00%	1572864	   20.5527	 99.84%	     11.15%	  0.4129
0.02.974.910 I    44	ffn_up_exps         	 121485.23	  0.0134	     1.1226	  0.08	  0.02	  100.00%	1572864	   20.5424	 99.79%	      9.83%	  0.4627
0.02.974.911 I    43	ffn_up_exps         	 117082.30	  0.0007	     1.0333	  0.07	  0.02	  100.00%	1572864	   20.5434	 99.80%	     10.12%	  0.3239
0.02.974.913 I    42	ffn_up_exps         	 108542.00	  0.0123	     0.9335	  0.07	  0.02	  100.00%	1572864	   20.5472	 99.82%	     10.06%	  0.3471
0.02.974.915 I    41	ffn_up_exps         	 103161.63	  0.0121	     0.7140	  0.07	  0.02	  100.00%	1572864	   20.5476	 99.82%	     10.58%	  0.3884
0.02.974.916 I    40	ffn_up_exps         	  97451.24	  0.0134	     0.8906	  0.06	  0.02	  100.00%	1572864	   20.5465	 99.81%	     10.51%	  0.3706
0.02.974.918 I    39	ffn_up_exps         	  93239.70	  0.0103	     0.5271	  0.06	  0.01	  100.00%	1572864	   20.5520	 99.84%	     10.82%	  0.3418
0.02.974.920 I    38	ffn_up_exps         	  88800.20	  0.0078	     0.5006	  0.06	  0.01	  100.00%	1572864	   20.5506	 99.83%	     10.57%	  0.4299
0.02.974.921 I    37	ffn_up_exps         	  81374.42	  0.0062	     0.6513	  0.05	  0.01	  100.00%	1572864	   20.5482	 99.82%	      9.89%	  0.3758
0.02.974.923 I    36	ffn_up_exps         	  77229.91	  0.0101	     0.7309	  0.05	  0.01	  100.00%	1572864	   20.5458	 99.81%	      9.88%	  0.4555
0.02.974.925 I    35	ffn_up_exps         	  72465.42	  0.0077	     0.4923	  0.05	  0.01	  100.00%	1572864	   20.5486	 99.82%	     10.37%	  0.4439
0.02.974.926 I    34	ffn_up_exps         	  67759.62	  0.0044	     0.4003	  0.04	  0.01	  100.00%	1572864	   20.5469	 99.82%	     10.49%	  0.3780
0.02.974.928 I    33	ffn_up_exps         	  64080.60	  0.0098	     0.4426	  0.04	  0.01	  100.00%	1572864	   20.5446	 99.80%	     10.37%	  0.3633
0.02.974.930 I    32	ffn_up_exps         	  55776.54	  0.0023	     0.3469	  0.04	  0.01	  100.00%	1572864	   20.5458	 99.81%	     11.02%	  0.3915
0.02.974.931 I    31	ffn_up_exps         	  51771.87	  0.0062	     0.4032	  0.03	  0.01	  100.00%	1572864	   20.5453	 99.81%	     10.57%	  0.5156
0.02.974.933 I    30	ffn_up_exps         	  43824.47	  0.0070	     0.3072	  0.03	  0.01	  100.00%	1572864	   20.5481	 99.82%	     10.65%	  0.5299
0.02.974.935 I    29	ffn_up_exps         	  38833.71	  0.0035	     0.3494	  0.02	  0.01	  100.00%	1572864	   20.5419	 99.79%	     10.43%	  0.5188
0.02.974.936 I    28	ffn_up_exps         	  35094.26	  0.0059	     0.3096	  0.02	  0.01	  100.00%	1572864	   20.5422	 99.79%	     10.56%	  0.5421
0.02.974.938 I    27	ffn_up_exps         	  31034.21	  0.0059	     0.2959	  0.02	  0.01	  100.00%	1572864	   20.5402	 99.78%	     10.53%	  0.5497
0.02.974.940 I    26	ffn_up_exps         	  26150.29	  0.0053	     0.1967	  0.02	  0.00	  100.00%	1572864	   20.5350	 99.76%	     10.91%	  0.6022
0.02.974.942 I    25	ffn_up_exps         	  24336.94	  0.0048	     0.2658	  0.02	  0.00	  100.00%	1572864	   20.5336	 99.75%	     10.32%	  0.6080
0.02.974.943 I    24	ffn_up_exps         	  22638.40	  0.0031	     0.2620	  0.01	  0.00	  100.00%	1572864	   20.5285	 99.73%	     10.19%	  0.6220
0.02.974.945 I    23	ffn_up_exps         	  20539.90	  0.0028	     0.1980	  0.01	  0.00	  100.00%	1572864	   20.5228	 99.70%	      9.85%	  0.4882
0.02.974.946 I    22	ffn_up_exps         	  19262.24	  0.0037	     0.2476	  0.01	  0.00	  100.00%	1572864	   20.5246	 99.71%	      9.42%	  0.4164
0.02.974.948 I    21	ffn_up_exps         	  17860.12	  0.0017	     0.2177	  0.01	  0.00	  100.00%	1572864	   20.5233	 99.70%	      9.84%	  0.4087
0.02.974.950 I    20	ffn_up_exps         	  15210.69	  0.0007	     0.1565	  0.01	  0.00	  100.00%	1572864	   20.5210	 99.69%	     10.15%	  0.3246
0.02.974.952 I    19	ffn_up_exps         	  13358.83	  0.0008	     0.2168	  0.01	  0.00	  100.00%	1572864	   20.5166	 99.67%	      9.17%	  0.4227
0.02.974.953 I    18	ffn_up_exps         	  11593.56	  0.0007	     0.1677	  0.01	  0.00	  100.00%	1572864	   20.5219	 99.69%	      9.70%	  0.3591
0.02.974.955 I    17	ffn_up_exps         	   8551.71	  0.0004	     0.1113	  0.01	  0.00	  100.00%	1572864	   20.5140	 99.66%	      9.93%	  0.4359
0.02.974.957 I    16	ffn_up_exps         	   7314.54	  0.0003	     0.0912	  0.00	  0.00	  100.00%	1572864	   20.5120	 99.65%	     10.29%	  0.5225
0.02.974.959 I    15	ffn_up_exps         	   6483.47	  0.0000	     0.1201	  0.00	  0.00	  100.00%	1572864	   20.5068	 99.62%	      9.82%	  0.5853
0.02.974.961 I    14	ffn_up_exps         	   5938.47	  0.0002	     0.0746	  0.00	  0.00	  100.00%	1572864	   20.4975	 99.58%	     10.65%	  0.6247
0.02.974.969 I    13	ffn_up_exps         	   5219.91	  0.0000	     0.0561	  0.00	  0.00	  100.00%	1572864	   20.4880	 99.53%	     10.51%	  0.5435
0.02.974.971 I    12	ffn_up_exps         	   3043.88	  0.0000	     0.0487	  0.00	  0.00	  100.00%	1572864	   20.4691	 99.44%	     10.11%	  0.5284
0.02.974.972 I    11	ffn_up_exps         	   2634.52	  0.0000	     0.0352	  0.00	  0.00	  100.00%	1572864	   20.4801	 99.49%	     10.78%	  0.5764
0.02.974.974 I    10	ffn_up_exps         	   2350.02	  0.0000	     0.0341	  0.00	  0.00	  100.00%	1572864	   20.4691	 99.44%	      9.90%	  0.0648
0.02.974.976 I     9	ffn_up_exps         	   2215.57	  0.0000	    13.5879	  0.00	  0.02	  100.00%	1572864	   20.0651	 97.47%	      0.02%	  0.0056
0.02.974.978 I     8	ffn_up_exps         	   1853.39	  0.0000	    14.8166	  0.00	  0.03	   99.96%	1572864	   19.7813	 96.10%	      0.02%	  0.0638
0.02.974.979 I     7	ffn_up_exps         	   1350.18	  0.0000	     0.2316	  0.00	  0.00	   99.85%	1572864	   20.4006	 99.10%	      5.43%	  0.5877
0.02.974.981 I     6	ffn_up_exps         	    739.40	  0.0000	     0.2319	  0.00	  0.00	   99.89%	1572864	   20.3199	 98.71%	      5.17%	  0.6499
0.02.974.983 I     5	ffn_up_exps         	    399.05	  0.0000	     0.0143	  0.00	  0.00	   99.79%	1572864	   20.2482	 98.36%	      8.96%	  0.6920
0.02.974.985 I     4	ffn_up_exps         	    336.45	  0.0000	     0.0130	  0.00	  0.00	   99.89%	1572864	   20.1367	 97.82%	      6.71%	  0.5126
0.02.974.986 I     3	ffn_up_exps         	    191.74	  0.0000	     0.0266	  0.00	  0.00	   99.34%	1572864	   19.5459	 94.95%	      2.76%	  0.0000
0.02.974.988 I    74	ffn_up_shexp        	   2006.02	  0.2412	     2.0158	  0.33	  0.07	  100.00%	  6144	   12.5550	 99.76%	     11.88%	  0.9966
0.02.974.990 I    75	ffn_up_shexp        	   1945.92	  0.1661	     1.4623	  0.32	  0.07	  100.00%	  6144	   12.5541	 99.75%	     12.04%	  0.9954
0.02.974.991 I    73	ffn_up_shexp        	   1924.86	  0.2277	     2.1361	  0.31	  0.07	  100.00%	  6144	   12.5568	 99.78%	     11.21%	  0.9965
0.02.974.994 I    72	ffn_up_shexp        	   1878.86	  0.2306	     1.8823	  0.31	  0.07	  100.00%	  6144	   12.5573	 99.78%	     11.17%	  0.9962
0.02.974.995 I    71	ffn_up_shexp        	   1662.05	  0.1997	     1.4494	  0.27	  0.05	  100.00%	  6144	   12.5646	 99.84%	     11.33%	  0.9967
0.02.974.997 I    76	ffn_up_shexp        	   1622.29	  0.1134	     0.9560	  0.26	  0.05	  100.00%	  6144	   12.5594	 99.80%	     11.85%	  0.9911
0.02.974.999 I    70	ffn_up_shexp        	   1559.28	  0.1888	     0.7028	  0.25	  0.04	  100.00%	  6144	   12.5686	 99.87%	     12.09%	  0.9972
0.02.975.000 I    69	ffn_up_shexp        	   1495.15	  0.1901	     0.8630	  0.24	  0.04	  100.00%	  6144	   12.5682	 99.87%	     12.08%	  0.9983
0.02.975.002 I    68	ffn_up_shexp        	   1423.42	  0.1798	     1.0952	  0.23	  0.04	  100.00%	  6144	   12.5691	 99.87%	     11.26%	  0.9980
0.02.975.003 I    67	ffn_up_shexp        	   1344.89	  0.1741	     0.9234	  0.22	  0.03	  100.00%	  6144	   12.5715	 99.89%	     10.87%	  0.9990
0.02.975.005 I    66	ffn_up_shexp        	   1275.63	  0.1640	     0.9213	  0.21	  0.03	  100.00%	  6144	   12.5717	 99.89%	     10.76%	  0.9989
0.02.975.007 I    65	ffn_up_shexp        	   1184.24	  0.1530	     0.9903	  0.19	  0.03	  100.00%	  6144	   12.5716	 99.89%	     10.77%	  0.9994
0.02.975.008 I    64	ffn_up_shexp        	   1162.38	  0.1488	     0.8641	  0.19	  0.03	  100.00%	  6144	   12.5719	 99.90%	     11.52%	  0.9995
0.02.975.010 I    63	ffn_up_shexp        	   1124.77	  0.1412	     0.7027	  0.18	  0.03	  100.00%	  6144	   12.5721	 99.90%	     11.54%	  0.9995
0.02.975.012 I    62	ffn_up_shexp        	   1074.41	  0.1327	     0.7873	  0.17	  0.03	  100.00%	  6144	   12.5718	 99.90%	     11.25%	  0.9996
0.02.975.013 I    61	ffn_up_shexp        	   1025.35	  0.1256	     0.7269	  0.17	  0.02	  100.00%	  6144	   12.5711	 99.89%	     11.41%	  0.9991
0.02.975.015 I    60	ffn_up_shexp        	   1002.82	  0.1230	     1.0378	  0.16	  0.03	  100.00%	  6144	   12.5707	 99.89%	     10.27%	  0.9992
0.02.975.017 I    59	ffn_up_shexp        	    956.51	  0.1188	     0.6816	  0.16	  0.02	  100.00%	  6144	   12.5712	 99.89%	     11.38%	  0.9994
0.02.975.018 I    58	ffn_up_shexp        	    924.16	  0.1089	     0.6815	  0.15	  0.02	  100.00%	  6144	   12.5706	 99.89%	     11.34%	  0.9990
0.02.975.020 I    77	ffn_up_shexp        	    891.23	  0.0475	     0.4435	  0.15	  0.04	  100.00%	  6144	   12.5453	 99.68%	     11.56%	  0.9716
0.02.975.022 I    57	ffn_up_shexp        	    881.72	  0.1074	     0.5431	  0.14	  0.02	  100.00%	  6144	   12.5701	 99.88%	     11.60%	  0.9993
0.02.975.023 I    56	ffn_up_shexp        	    858.04	  0.1054	     0.5876	  0.14	  0.02	  100.00%	  6144	   12.5704	 99.88%	     11.52%	  0.9994
0.02.975.025 I    55	ffn_up_shexp        	    820.70	  0.0983	     0.6495	  0.13	  0.02	  100.00%	  6144	   12.5691	 99.87%	     11.28%	  0.9990
0.02.975.027 I    54	ffn_up_shexp        	    788.02	  0.0974	     0.7404	  0.13	  0.02	  100.00%	  6144	   12.5701	 99.88%	     11.17%	  0.9992
0.02.975.028 I    53	ffn_up_shexp        	    747.95	  0.0938	     0.6963	  0.12	  0.02	  100.00%	  6144	   12.5707	 99.89%	     11.02%	  0.9991
0.02.975.030 I    52	ffn_up_shexp        	    734.69	  0.0930	     0.6489	  0.12	  0.02	  100.00%	  6144	   12.5711	 99.89%	     11.39%	  0.9993
0.02.975.033 I    51	ffn_up_shexp        	    680.75	  0.0840	     0.6279	  0.11	  0.02	  100.00%	  6144	   12.5705	 99.88%	     11.51%	  0.9988
0.02.975.034 I    50	ffn_up_shexp        	    660.98	  0.0821	     0.5594	  0.11	  0.02	  100.00%	  6144	   12.5696	 99.88%	     11.75%	  0.9987
0.02.975.037 I    49	ffn_up_shexp        	    616.99	  0.0761	     0.5980	  0.10	  0.02	  100.00%	  6144	   12.5687	 99.87%	     11.36%	  0.9980
0.02.975.038 I    48	ffn_up_shexp        	    574.36	  0.0710	     0.4589	  0.09	  0.01	  100.00%	  6144	   12.5701	 99.88%	     11.44%	  0.9984
0.02.975.041 I    47	ffn_up_shexp        	    569.08	  0.0694	     0.4776	  0.09	  0.01	  100.00%	  6144	   12.5705	 99.89%	     11.23%	  0.9990
0.02.975.042 I    46	ffn_up_shexp        	    541.95	  0.0678	     0.4970	  0.09	  0.01	  100.00%	  6144	   12.5700	 99.88%	     11.65%	  0.9988
0.02.975.044 I    45	ffn_up_shexp        	    513.06	  0.0646	     0.4256	  0.08	  0.01	  100.00%	  6144	   12.5701	 99.88%	     11.80%	  0.9989
0.02.975.046 I    44	ffn_up_shexp        	    470.97	  0.0585	     0.4562	  0.08	  0.01	  100.00%	  6144	   12.5681	 99.87%	     11.64%	  0.9980
0.02.975.048 I    43	ffn_up_shexp        	    456.50	  0.0570	     0.5708	  0.07	  0.01	  100.00%	  6144	   12.5658	 99.85%	     11.20%	  0.9981
0.02.975.050 I    42	ffn_up_shexp        	    422.62	  0.0520	     0.6052	  0.07	  0.01	  100.00%	  6144	   12.5648	 99.84%	     10.58%	  0.9983
0.02.975.051 I    41	ffn_up_shexp        	    400.75	  0.0489	     0.5147	  0.07	  0.01	  100.00%	  6144	   12.5651	 99.84%	     10.82%	  0.9976
0.02.975.054 I    40	ffn_up_shexp        	    378.99	  0.0465	     0.4201	  0.06	  0.01	  100.00%	  6144	   12.5653	 99.84%	     10.94%	  0.9963
0.02.975.055 I    39	ffn_up_shexp        	    361.42	  0.0448	     0.3276	  0.06	  0.01	  100.00%	  6144	   12.5693	 99.88%	     10.90%	  0.9982
0.02.975.057 I    38	ffn_up_shexp        	    344.08	  0.0421	     0.3794	  0.06	  0.01	  100.00%	  6144	   12.5683	 99.87%	     10.51%	  0.9980
0.02.975.058 I    37	ffn_up_shexp        	    314.13	  0.0387	     0.4275	  0.05	  0.01	  100.00%	  6144	   12.5688	 99.87%	      9.57%	  0.9979
0.02.975.060 I    36	ffn_up_shexp        	    299.99	  0.0358	     0.2916	  0.05	  0.01	  100.00%	  6144	   12.5685	 99.87%	     11.10%	  0.9976
0.02.975.062 I    35	ffn_up_shexp        	    281.19	  0.0349	     0.3079	  0.05	  0.01	  100.00%	  6144	   12.5692	 99.87%	     10.63%	  0.9981
0.02.975.063 I    34	ffn_up_shexp        	    262.33	  0.0319	     0.2363	  0.04	  0.01	  100.00%	  6144	   12.5683	 99.87%	     10.82%	  0.9972
0.02.975.065 I    33	ffn_up_shexp        	    250.16	  0.0278	     0.2141	  0.04	  0.01	  100.00%	  6144	   12.5682	 99.87%	     11.00%	  0.9972
0.02.975.067 I    32	ffn_up_shexp        	    218.93	  0.0259	     0.1621	  0.04	  0.01	  100.00%	  6144	   12.5674	 99.86%	     11.28%	  0.9969
0.02.975.068 I    31	ffn_up_shexp        	    202.37	  0.0249	     0.1389	  0.03	  0.01	  100.00%	  6144	   12.5684	 99.87%	     11.47%	  0.9969
0.02.975.070 I    30	ffn_up_shexp        	    171.25	  0.0183	     0.1224	  0.03	  0.00	  100.00%	  6144	   12.5686	 99.87%	     11.44%	  0.9971
0.02.975.071 I    29	ffn_up_shexp        	    152.12	  0.0185	     0.0802	  0.02	  0.00	  100.00%	  6144	   12.5683	 99.87%	     11.60%	  0.9970
0.02.975.073 I    28	ffn_up_shexp        	    137.91	  0.0145	     0.0762	  0.02	  0.00	  100.00%	  6144	   12.5681	 99.87%	     11.69%	  0.9976
0.02.975.074 I    27	ffn_up_shexp        	    122.36	  0.0132	     0.0847	  0.02	  0.00	  100.00%	  6144	   12.5667	 99.85%	     11.44%	  0.9971
0.02.975.076 I    26	ffn_up_shexp        	    103.13	  0.0097	     0.0586	  0.02	  0.00	  100.00%	  6144	   12.5658	 99.85%	     12.11%	  0.9974
0.02.975.078 I    25	ffn_up_shexp        	     96.26	  0.0084	     0.0586	  0.02	  0.00	  100.00%	  6144	   12.5659	 99.85%	     11.54%	  0.9973
0.02.975.079 I    24	ffn_up_shexp        	     89.34	  0.0068	     0.0412	  0.01	  0.00	  100.00%	  6144	   12.5658	 99.85%	     11.88%	  0.9972
0.02.975.081 I    23	ffn_up_shexp        	     81.49	  0.0058	     0.0482	  0.01	  0.00	  100.00%	  6144	   12.5633	 99.83%	     11.98%	  0.9947
0.02.975.083 I    22	ffn_up_shexp        	     76.63	  0.0068	     0.0582	  0.01	  0.00	  100.00%	  6144	   12.5601	 99.80%	     11.36%	  0.9939
0.02.975.084 I    21	ffn_up_shexp        	     71.97	  0.0034	     0.0528	  0.01	  0.00	  100.00%	  6144	   12.5582	 99.79%	     11.57%	  0.9947
0.02.975.086 I    20	ffn_up_shexp        	     61.22	  0.0040	     0.0383	  0.01	  0.00	  100.00%	  6144	   12.5556	 99.77%	     11.30%	  0.9952
0.02.975.088 I    19	ffn_up_shexp        	     53.24	  0.0031	     0.0323	  0.01	  0.00	  100.00%	  6144	   12.5580	 99.79%	     11.41%	  0.9958
0.02.975.089 I    18	ffn_up_shexp        	     46.51	  0.0013	     0.0206	  0.01	  0.00	  100.00%	  6144	   12.5598	 99.80%	     11.56%	  0.9929
0.02.975.091 I    17	ffn_up_shexp        	     34.38	  0.0008	     0.0216	  0.01	  0.00	  100.00%	  6144	   12.5547	 99.76%	     11.13%	  0.9941
0.02.975.093 I    16	ffn_up_shexp        	     29.31	  0.0006	     0.0159	  0.00	  0.00	  100.00%	  6144	   12.5549	 99.76%	     11.41%	  0.9942
0.02.975.094 I    15	ffn_up_shexp        	     25.87	  0.0000	     0.0190	  0.00	  0.00	  100.00%	  6144	   12.5543	 99.76%	     11.34%	  0.9920
0.02.975.096 I    14	ffn_up_shexp        	     23.75	  0.0003	     0.0143	  0.00	  0.00	  100.00%	  6144	   12.5507	 99.73%	     11.43%	  0.9916
0.02.975.098 I    13	ffn_up_shexp        	     20.89	  0.0000	     0.0141	  0.00	  0.00	  100.00%	  6144	   12.5391	 99.64%	     11.23%	  0.9811
0.02.975.099 I    12	ffn_up_shexp        	     12.23	  0.0000	     0.0091	  0.00	  0.00	  100.00%	  6144	   12.5323	 99.58%	     11.08%	  0.9840
0.02.975.101 I    11	ffn_up_shexp        	     10.56	  0.0000	     0.0071	  0.00	  0.00	  100.00%	  6144	   12.5316	 99.58%	     11.77%	  0.9837
0.02.975.102 I    10	ffn_up_shexp        	      9.40	  0.0000	     0.0118	  0.00	  0.00	  100.00%	  6144	   12.5261	 99.53%	     10.66%	  0.3210
0.02.975.104 I     9	ffn_up_shexp        	      8.80	  0.0001	     0.3664	  0.00	  0.00	  100.00%	  6144	   12.2415	 97.27%	      0.07%	  0.1548
0.02.975.106 I     8	ffn_up_shexp        	      7.43	  0.0000	     0.4726	  0.00	  0.01	   99.97%	  6144	   11.9972	 95.33%	      0.08%	  0.3322
0.02.975.108 I     7	ffn_up_shexp        	      5.31	  0.0000	     0.0123	  0.00	  0.00	   99.85%	  6144	   12.4582	 98.99%	      7.24%	  0.8993
0.02.975.109 I     6	ffn_up_shexp        	      2.88	  0.0000	     0.0087	  0.00	  0.00	   99.89%	  6144	   12.3804	 98.37%	      7.47%	  0.8963
0.02.975.111 I     5	ffn_up_shexp        	      1.55	  0.0000	     0.0039	  0.00	  0.00	   99.82%	  6144	   12.3046	 97.77%	      8.95%	  0.8766
0.02.975.112 I     4	ffn_up_shexp        	      1.31	  0.0000	     0.0064	  0.00	  0.00	   99.92%	  6144	   12.2018	 96.96%	      6.74%	  0.6689
0.02.975.114 I     3	ffn_up_shexp        	      0.74	  0.0000	     0.0153	  0.00	  0.00	   99.84%	  6144	   11.6486	 92.56%	      2.91%	  0.0000
0.02.975.115 I 
Computing weighted average statistics per layer (78 layers)
0.02.975.116 I 
  Layer	     μΣ(Act²)	      μZD	μCosSim
0.02.975.116 I ================================================
0.02.975.117 I     0	         19.57	    5.0841%	0.0000
0.02.975.117 I     1	          6.54	    4.5301%	0.2129
0.02.975.118 I     2	          3.66	    3.0393%	0.3086
0.02.975.118 I     3	        160.39	    2.3953%	0.0044
0.02.975.119 I     4	        281.27	    5.8678%	0.4372
0.02.975.120 I     5	        339.03	    7.7554%	0.5936
0.02.975.120 I     6	        637.54	    4.5647%	0.5579
0.02.975.121 I     7	       1130.17	    4.7511%	0.5046
0.02.975.121 I     8	       1985.66	    0.1942%	0.0650
0.02.975.122 I     9	       1931.48	    0.1893%	0.0142
0.02.975.122 I    10	       2127.06	    8.4814%	0.0648
0.02.975.123 I    11	       2320.66	    9.3154%	0.4972
0.02.975.124 I    12	       2698.85	    8.8046%	0.4588
0.02.975.124 I    13	       4468.56	    9.0870%	0.4720
0.02.975.125 I    14	       5068.61	    9.3197%	0.5415
